round,faith_reliability_mean,faith_overclaim_mean,faith_invested_mean,trust_reliability_mean,trust_overclaim_mean,trust_invested_mean
160,0.5543049203712612,0.5046875000000001,0.008354166666666668,0.9172970634353068,0.004229166666666667,0.5791666666666666
161,0.5537689315357385,0.5658958333333334,0.008583333333333333,0.9170807577113335,0.0045625,0.5786250000000001
162,0.5536856297425179,0.46737499999999993,0.008041666666666667,0.9173259711610998,0.0041875,0.57875
163,0.5540720301616605,0.5510416666666667,0.008,0.9172295256815369,0.004333333333333333,0.5784166666666667
164,0.5534426878997549,0.4968333333333333,0.0075625,0.9173989294085879,0.0040625,0.5785
165,0.5536716888810781,0.4821041666666666,0.008208333333333333,0.9176373915697477,0.0036875000000000002,0.5794166666666666
166,0.5542244561860451,0.5232083333333334,0.008729166666666668,0.9177726111431981,0.0034791666666666664,0.5797083333333334
167,0.5541927685733706,0.5169374999999999,0.0086875,0.9173730089218305,0.0041041666666666666,0.5798333333333333
168,0.5539615429907622,0.5101666666666667,0.0084375,0.9169752681164077,0.004729166666666667,0.5792291666666667
169,0.5539959414817778,0.5068333333333334,0.0081875,0.9170848845372483,0.004562500000000001,0.5792499999999999
170,0.5535055112436164,0.49193749999999997,0.0079375,0.9171227656813891,0.0045000000000000005,0.5788541666666667
171,0.5541271021480755,0.45512500000000006,0.00825,0.9173048769935903,0.004208333333333334,0.5787291666666666
172,0.5540014340547564,0.49047916666666663,0.008729166666666668,0.9172820256684594,0.00425,0.5792708333333333
